0  50.000000
1  48.702619
2  47.409049
3  46.123066
4  44.848381
5  43.588605
6  42.347221
7  41.127552
8  39.932738
9  38.765708
10  37.629165
11  36.525560
12  35.457085
13  34.425658
14  33.432915
15  32.480210
16  31.568609
17  30.698897
18  29.871579
19  29.086896
20  28.344827
21  27.645112
22  26.987259
23  26.370568
24  25.794145
25  25.256926
26  24.757691
27  24.295090
28  23.867661
29  23.473849
30  23.112028
31  22.780516
32  22.477595
33  22.201527
34  21.950566
35  21.722976
36  21.517036
37  21.331057
38  21.163383
39  21.012403
40  20.876556
41  20.754329
42  20.644266
43  20.544961
44  20.455065
45  20.373279
46  20.298352
47  20.229080
48  20.164296
49  20.102872
50  20.043708
51  19.985727
52  19.927874
53  19.869102
54  19.808373
55  19.744650
56  19.676890
57  19.604043
58  19.525045
59  19.438818
60  19.344264
61  19.240264
62  19.125683
63  18.999363
64  18.860129
65  18.706793
66  18.538156
67  18.353014
68  18.150166
69  17.928419
70  17.686602
71  17.423569
72  17.138216
73  16.829492
74  16.496408
75  16.138051
76  15.753600
77  15.342337
78  14.903661
79  14.437098
80  13.942317
81  13.419141
82  12.867553
83  12.287711
84  11.679951
85  11.044793
86  10.382949
87  9.695318
88  8.982992
89  8.247248
90  7.489546
91  6.711522
92  5.914976
93  5.101861
94  4.274269
95  3.434417
96  2.584626
97  1.727303
98  0.864922
99  0.000000
