0  50.000000
1  48.885247
2  47.772910
3  46.665387
4  45.565049
5  44.474216
6  43.395149
7  42.330033
8  41.280963
9  40.249934
10  39.238828
11  38.249404
12  37.283289
13  36.341971
14  35.426791
15  34.538940
16  33.679455
17  32.849215
18  32.048943
19  31.279205
20  30.540409
21  29.832815
22  29.156531
23  28.511525
24  27.897624
25  27.314528
26  26.761810
27  26.238930
28  25.745241
29  25.279997
30  24.842360
31  24.431414
32  24.046170
33  23.685576
34  23.348523
35  23.033857
36  22.740384
37  22.466878
38  22.212087
39  21.974741
40  21.753556
41  21.547239
42  21.354494
43  21.174023
44  21.004534
45  20.844737
46  20.693355
47  20.549116
48  20.410764
49  20.277052
50  20.146748
51  20.018633
52  19.891503
53  19.764169
54  19.635454
55  19.504200
56  19.369261
57  19.229510
58  19.083833
59  18.931138
60  18.770348
61  18.600409
62  18.420290
63  18.228983
64  18.025508
65  17.808918
66  17.578298
67  17.332771
68  17.071505
69  16.793711
70  16.498654
71  16.185656
72  15.854099
73  15.503433
74  15.133178
75  14.742933
76  14.332380
77  13.901284
78  13.449504
79  12.976993
80  12.483805
81  11.970092
82  11.436113
83  10.882230
84  10.308914
85  9.716742
86  9.106396
87  8.478662
88  7.834429
89  7.174683
90  6.500505
91  5.813063
92  5.113608
93  4.403468
94  3.684038
95  2.956771
96  2.223173
97  1.484790
98  0.743199
99  0.000000
